"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-00001","01","01-01","G204091E67414N",392889,624,"2008-09-02T00:00:00",-155.90940361036584,67.4137265,5,0.239199161030735,0,0,0,9,"",1,-155.90403216948334,67.4160339725036,1485.3176,1693.6235,1544.6694,1553.9403,17.606613,342.3304691314697,1,"COPDEM30",725
"RGI2000-v7.0-G-01-00002","01","01-01","G204121E67419N",392890,624,"2008-09-02T00:00:00",-155.87911428757442,67.419232,5,0.104640862157241,0,0,0,9,"",1,-155.8785116747978,67.42127288523982,1278.4006,1394.7657,1328.5566,1330.915,19.846369,345.3670120239258,1,"COPDEM30",484
"RGI2000-v7.0-G-01-00003","01","01-01","G204471E67431N",392897,624,"2008-09-02T00:00:00",-155.5307860118259,67.431484,5,0.216605047642537,0,0,0,9,"",1,-155.52951584901044,67.43569380532352,1294.7034,1704.742,1423.2068,1437.2352,23.690063,13.46749,1,"COPDEM30",1099
"RGI2000-v7.0-G-01-00004","01","01-01","G204497E67431N",392899,624,"2008-09-02T00:00:00",-155.50194842916193,67.430514,5,0.252648926823073,0,0,0,9,"",1,-155.50228347036204,67.43336657478112,1224.1788,1286.8977,1249.6306,1249.0662,12.782562,42.854332,2,"COPDEM30",652
"RGI2000-v7.0-G-01-00005","01","01-01","G204521E67429N",392901,624,"2008-09-02T00:00:00",-155.47817274020792,67.432873,5,0.474715764168447,0,0,0,9,"",1,-155.499391809819,67.43890138725259,1052.4401,1488.1299,1290.8923,1273.7834,17.14851,299.0581932067871,8,"COPDEM30",1903
"RGI2000-v7.0-G-01-00006","01","01-01","G204503E67573N",392900,624,"2008-09-10T00:00:00",-155.4969497117513,67.5722555,5,0.408503513174389,0,0,0,9,"",1,-155.48939435156885,67.5745720910362,1977.4945,2170.5366,2087.9443,2088.3367,15.762392,77.727875,3,"COPDEM30",858
"RGI2000-v7.0-G-01-00007","01","01-01","G204489E67575N",392898,624,"2008-09-10T00:00:00",-155.5097430180939,67.574614,5,0.916141352615376,0,0,0,9,"",1,-155.52184851276235,67.58191737816217,1530.7017,2171.6182,2052.995,1968.782,21.687986,323.83539962768555,8,"COPDEM30",1592
"RGI2000-v7.0-G-01-00008","01","01-01","G205041E67468N",392967,624,"2008-09-02T00:00:00",-154.9569761963807,67.468513,5,0.419314718753844,0,0,0,9,"",1,-154.9577436004644,67.47465790031865,1425.6559,1722.775,1547.9398,1550.7047,16.10109,12.599836,1,"COPDEM30",1435
"RGI2000-v7.0-G-01-00009","01","01-01","G205031E67448N",392961,624,"2008-09-02T00:00:00",-154.96751803415037,67.44832099999999,5,0.078453454506608,0,0,0,9,"",1,-154.9711399863281,67.44943397043622,1565.3054,1752.6451,1643.2263,1648.1476,31.374462,318.187931060791,8,"COPDEM30",369
"RGI2000-v7.0-G-01-00010","01","01-01","G205033E67434N",392963,624,"2008-09-02T00:00:00",-154.96389601536634,67.43386,5,0.72088768246473,0,0,0,9,"",1,-154.98441268557704,67.43645941836147,1414.8813,1827.0992,1539.0287,1549.4502,15.559956,335.4181270599365,8,"COPDEM30",1520
"RGI2000-v7.0-G-01-00011","01","01-01","G205021E67424N",392959,624,"2008-09-02T00:00:00",-154.97749581978405,67.4240015,5,0.613558326831874,0,0,0,9,"",1,-154.9939255080692,67.4269702181146,1332.8177,1753.2792,1517.5354,1526.6699,17.869303,294.8121795654297,8,"COPDEM30",1332
"RGI2000-v7.0-G-01-00012","01","01-01","G205009E67418N",392956,624,"2008-09-02T00:00:00",-154.99073524999997,67.41858450000001,5,0.934563729750826,0,0,0,9,"",1,-155.0093062422617,67.42135834775786,1161.1173,1730.4747,1472.3256,1446.981,20.166616,313.46010971069336,8,"COPDEM30",1706
"RGI2000-v7.0-G-01-00013","01","01-01","G205052E67404N",392969,624,"2008-09-08T00:00:00",-154.9478629488548,67.4041505,5,0.088580926577986,0,0,0,9,"",1,-154.94745767001052,67.40249124975199,1578.995,1644.4565,1614.3666,1612.1653,9.976492,195.9096527099609,5,"COPDEM30",437
